Facility_ID,Facility_Name,Facility_Street,Facility_City,"Facility_
State","Facility_ZIP
_Code"
ILD005129697,A FINKL & SONS CO,2011 N SOUTHPORT  AVE,CHICAGO,IL,60614
KSD067966259,A-1 BARREL CO LLC,6035 KANSAS AVE,KANSAS CITY,KS,66111
MOR000525121,ABC LABORATORIES INC,4780 DISCOVERY  DR,COLUMBIA,MO,65201
HIR000135517,ABES AUTO RECYCLERS,96 1268 WAIHONA ST,PEARL CITY,HI,96782
OH0001002781,ACCUBUILT  INC,2550 CENTRAL POINT PKWY,LIMA,OH,45804
OHD004205274,ACCURATE  PLATING CO,6512 CARNEGIE  AVE,CLEVELAND,OH,44103
VAD982363541,"ADVANCED  FINISHING  SYSTEMS,  INC.",2954 GEORGE WASHINGTON MEM HWY,HAYES,VA,23072
OHD061013553,AERO CLASSICS INC,1710 SAWMILL PARKWAY,HURON,OH,44839
TXD099387474,AGRIFOS FERTILIZER,2001 JACKSON RD,PASADENA,TX,77506
KYD005013032,AK STEEL CORPORATION - COKE PLANT,40 TH STREET & WINCHESTER AVE,ASHLAND,KY,41105
OHD004157418,AK STEEL CORPORATION - MANSFIELD  WORKS,913 BOWMAN STREET,MANSFIELD,OH,44903
TXR000060442,ALAMO ENVIRONMENTAL INC,8189 NELSON RD,SAN ANTONIO,TX,78252
AKD980974182,ALASKA DOT & PF SOLDOTNA,MILE POST 96 STERLING HIGHWAY,SOLDOTNA,AK,99669
CAD008297996,ALL METALS PROCESSING CO INC,264 WEST SPAZIER AVE,BURBANK,CA,91502
AZD981634900,"ALL PRO INDUSTRIAL,  LLC",1531 W. 17TH STREET,TEMPE,AZ,85281
CAD982039174,"ALLFAST FASTENING  SYSTEMS,  INC.",15200 DON JULIAN ROAD,CITY OF INDUSTRY,CA,91745
LAD008195968,ALLIED SHIPYARD INC,310 LEDET LANE,LOCKPORT,LA,70374
MDD003062213,ALMAG PLATING CORPORATION,1800 CHERRY HILL RD,BALTIMORE,MD,21230
PRD090472838,AMCOR-FLEXIBLES PUERTO RICO,#50 BALDORIOTY  STREET,CIDRA,PR,00739
TND007029200,AMERICAN  DRUM & PALLET COMPANY,806 WALNUT,MEMPHIS,TN,38101
INR000020644,AMERICAN  IRON OXIDE COMPANY,2001 E CR 700 N,GRANDVIEW,IN,47615
MDD054909072,AMERICAN  PLATING SERVICE INC,4004 E MONUMENT  ST,BALTIMORE,MD,21205
MAD982201055,AMERICAN  RECLAMATION CORP,RTE 20 STURBRIDGE RD,CHARLTON,MA,01507
CAR000069153,AMPAC FINE CHEMICALS  LLC,HWY 50 AND HAZEL ROAD,RANCHO CORDOVA,CA,95670
KSD985013101,"APEX ENGINEERING INTERNATIONAL, L.L.C.",1812 W 2ND ST,WICHITA,KS,67203
